i'd like to pay with cards please, Sag: Ich möchte mit Kreditkarte bezahlen
could i pay with card please, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay with credit cards, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay by credit cards please, Sag: Ich möchte mit Kreditkarte bezahlen
could i pay by credit cards please, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by card, Sag: Ich möchte mit Kreditkarte bezahlen
could i pay with cards, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by credit card, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay with cards please, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by cards please, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay with credit card please, Sag: Ich möchte mit Kreditkarte bezahlen
could i pay with credit card, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay by credit card please, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay by card please, Sag: Ich möchte mit Kreditkarte bezahlen
do you accept card, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay with card, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay by credit card, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay by cards, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay with cards, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by card please, Sag: Ich möchte mit Kreditkarte bezahlen
could i pay with credit card please, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay with cards, Sag: Ich möchte mit Kreditkarte bezahlen
are cards accepted, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay by credit cards please, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay with cards, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay with credit cards, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay by card, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay with card please, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay with cards, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay with cards please, Sag: Ich möchte mit Kreditkarte bezahlen
are credit cards okay, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay by credit cards, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay by cards, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay by credit cards, Sag: Ich möchte mit Kreditkarte bezahlen
do you accept cards, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay with card please, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay with credit card, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay with card please, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay by credit cards please, Sag: Ich möchte mit Kreditkarte bezahlen
could i pay by card please, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay by cards, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay with credit cards, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay with card, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay with credit cards please, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay by credit card, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by credit cards please, Sag: Ich möchte mit Kreditkarte bezahlen
do you accept credit card please, Sag: Ich möchte mit Kreditkarte bezahlen
i would like to pay with card please, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay with credit cards, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay with card, Sag: Ich möchte mit Kreditkarte bezahlen
do you accept credit cards, Sag: Ich möchte mit Kreditkarte bezahlen
can i pay by card, Sag: Ich möchte mit Kreditkarte bezahlen
are card accepted, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay with credit card please, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by credit card please, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by cards, Sag: Ich möchte mit Kreditkarte bezahlen
i'd like to pay with credit card, Sag: Ich möchte mit Kreditkarte bezahlen
are credit card accepted, Sag: Ich möchte mit Kreditkarte bezahlen
is it possible to pay by master card, Sag: Ich möchte mit Mastercard bezahlen
do you accept master card please, Sag: Ich möchte mit Mastercard bezahlen
can i pay by mastercard, Sag: Ich möchte mit Mastercard bezahlen
i would like to pay by master card, Sag: Ich möchte mit Mastercard bezahlen
are master card accepted, Sag: Ich möchte mit Mastercard bezahlen
i would like to pay with master card, Sag: Ich möchte mit Mastercard bezahlen
is it possible to pay by master card please, Sag: Ich möchte mit Mastercard bezahlen
can i pay with mastercard, Sag: Ich möchte mit Mastercard bezahlen
are mastercard accepted, Sag: Ich möchte mit Mastercard bezahlen
are mastercard okay, Sag: Ich möchte mit Mastercard bezahlen
is it possible to pay with mastercard please, Sag: Ich möchte mit Mastercard bezahlen
can i pay by master card please, Sag: Ich möchte mit Mastercard bezahlen
i'd like to pay with mastercard, Sag: Ich möchte mit Mastercard bezahlen
do you accept master card, Sag: Ich möchte mit Mastercard bezahlen
is it possible to pay with master card please, Sag: Ich möchte mit Mastercard bezahlen
can i pay with mastercard please, Sag: Ich möchte mit Mastercard bezahlen
can i pay with master card please, Sag: Ich möchte mit Mastercard bezahlen
is it possible to pay with master card, Sag: Ich möchte mit Mastercard bezahlen
could i pay with mastercard, Sag: Ich möchte mit Mastercard bezahlen
could i pay by master card please, Sag: Ich möchte mit Mastercard bezahlen
i'd like to pay by mastercard please, Sag: Ich möchte mit Mastercard bezahlen
can i pay by master card, Sag: Ich möchte mit Mastercard bezahlen
is it possible to pay by mastercard, Sag: Ich möchte mit Mastercard bezahlen
i would like to pay by master card please, Sag: Ich möchte mit Mastercard bezahlen
do you accept mastercard please, Sag: Ich möchte mit Mastercard bezahlen
i'd like to pay with mastercard please, Sag: Ich möchte mit Mastercard bezahlen
could i pay by mastercard please, Sag: Ich möchte mit Mastercard bezahlen
could i pay with master card please, Sag: Ich möchte mit Mastercard bezahlen
could i pay with post card, Sag: Ich möchte mit Postkarte bezahlen
could i pay by post card please, Sag: Ich möchte mit Postkarte bezahlen
i would like to pay with post card please, Sag: Ich möchte mit Postkarte bezahlen
i'd like to pay by post card please, Sag: Ich möchte mit Postkarte bezahlen
could i pay by post card, Sag: Ich möchte mit Postkarte bezahlen
is it possible to pay by post card, Sag: Ich möchte mit Postkarte bezahlen
do you accept post card please, Sag: Ich möchte mit Postkarte bezahlen
i would like to pay with post card, Sag: Ich möchte mit Postkarte bezahlen
are post card okay, Sag: Ich möchte mit Postkarte bezahlen
i'd like to pay with post card please, Sag: Ich möchte mit Postkarte bezahlen
do you accept post card, Sag: Ich möchte mit Postkarte bezahlen
could i pay with post card please, Sag: Ich möchte mit Postkarte bezahlen
i would like to pay by post card, Sag: Ich möchte mit Postkarte bezahlen
is it possible to pay with post card, Sag: Ich möchte mit Postkarte bezahlen
are visa accepted, Sag: Ich möchte mit Visa bezahlen
is it possible to pay by visa, Sag: Ich möchte mit Visa bezahlen
do you accept visa, Sag: Ich möchte mit Visa bezahlen
could i pay with visa please, Sag: Ich möchte mit Visa bezahlen
are visa okay, Sag: Ich möchte mit Visa bezahlen
could i pay by visa please, Sag: Ich möchte mit Visa bezahlen
could i pay by visa, Sag: Ich möchte mit Visa bezahlen
i would like to pay by visa please, Sag: Ich möchte mit Visa bezahlen
i would like to pay by visa, Sag: Ich möchte mit Visa bezahlen
i'd like to pay with visa please, Sag: Ich möchte mit Visa bezahlen
could i pay with visa, Sag: Ich möchte mit Visa bezahlen
is it possible to pay with visa please, Sag: Ich möchte mit Visa bezahlen
can i pay by visa, Sag: Ich möchte mit Visa bezahlen
can i pay with visa please, Sag: Ich möchte mit Visa bezahlen
i should like a hairdryer, Frag: Haarföhn
yes could you offer me a hairdryer, Frag: Haarföhn
yes i need a hairdryer please, Frag: Haarföhn
no could you please offer me a hairdryer, Frag: Haarföhn
thank you i want a hairdryer, Frag: Haarföhn
no i want a hairdryer, Frag: Haarföhn
thank you i will take a hairdryer, Frag: Haarföhn
yes can i have a hairdryer, Frag: Haarföhn
yes could you offer me a hairdryer please, Frag: Haarföhn
no i should like a hairdryer please, Frag: Haarföhn
can i buy a hairdryer, Frag: Haarföhn
no i will have a hairdryer please, Frag: Haarföhn
thank you can you please offer me a hairdryer, Frag: Haarföhn
yes can you give me a hairdryer please, Frag: Haarföhn
yes i should like a hairdryer, Frag: Haarföhn
thank you could you give me a hairdryer, Frag: Haarföhn
thank you have you got a hairdryer, Frag: Haarföhn
yes i will take a hairdryer please, Frag: Haarföhn
can you offer me a hairdryer, Frag: Haarföhn
have you got a hairdryer, Frag: Haarföhn
yes can i buy a hairdryer please, Frag: Haarföhn
thank you i need a hairdryer please, Frag: Haarföhn
no i want a hairdryer please, Frag: Haarföhn
thank you could i buy a hairdryer please, Frag: Haarföhn
yes i would like a hairdryer, Frag: Haarföhn
yes i am looking for a hairdryer please, Frag: Haarföhn
yes i want a hairdryer, Frag: Haarföhn
yes i am looking for a hairdryer, Frag: Haarföhn
no could i buy a hairdryer, Frag: Haarföhn
thank you i would like a hairdryer, Frag: Haarföhn
thank you i will have a hairdryer please, Frag: Haarföhn
thank you could you please give me a hairdryer, Frag: Haarföhn
i am looking for a hairdryer, Frag: Haarföhn
yes could i have a hairdryer, Frag: Haarföhn
yes can you please give me a hairdryer, Frag: Haarföhn
could you give me a hairdryer please, Frag: Haarföhn
can i have a hairdryer please, Frag: Haarföhn
no could you offer me a hairdryer please, Frag: Haarföhn
no could you give me a hairdryer, Frag: Haarföhn
thank you i will take a hairdryer please, Frag: Haarföhn
do you have a hairdryer please, Frag: Haarföhn
i want a hairdryer, Frag: Haarföhn
thank you i will have a hairdryer, Frag: Haarföhn
yes could i have a hairdryer please, Frag: Haarföhn
could i buy a hairdryer, Frag: Haarföhn
no can i have a hairdryer please, Frag: Haarföhn
thank you can i have a hairdryer, Frag: Haarföhn
could you offer me a hairdryer, Frag: Haarföhn
i will have a hairdryer, Frag: Haarföhn
thank you could you offer me a hairdryer please, Frag: Haarföhn
thank you i am looking for a hairdryer, Frag: Haarföhn
no can i have a hairdryer, Frag: Haarföhn
no i need a hairdryer please, Frag: Haarföhn
i'd like a hairdryer, Frag: Haarföhn
no can you offer me a hairdryer please, Frag: Haarföhn
yes have you got a hairdryer please, Frag: Haarföhn
thank you could i buy a hairdryer, Frag: Haarföhn
yes can you offer me a hairdryer please, Frag: Haarföhn
no i will take a hairdryer please, Frag: Haarföhn
can you give me a hairdryer please, Frag: Haarföhn
no i will take a hairdryer, Frag: Haarföhn
no do you have a hairdryer, Frag: Haarföhn
yes i'd like a hairdryer please, Frag: Haarföhn
no could you please give me a hairdryer, Frag: Haarföhn
can you give me a hairdryer, Frag: Haarföhn
no i'd like a hairdryer please, Frag: Haarföhn
yes can you please offer me a hairdryer, Frag: Haarföhn
yes can i have a hairdryer please, Frag: Haarföhn
yes could you please give me a hairdryer, Frag: Haarföhn
thank you i'd like a hairdryer please, Frag: Haarföhn
no i'd like a hairdryer, Frag: Haarföhn
could i have a hairdryer please, Frag: Haarföhn
yes i will take a hairdryer, Frag: Haarföhn
no could i have a hairdryer please, Frag: Haarföhn
yes could i buy a hairdryer, Frag: Haarföhn
no i would like a hairdryer please, Frag: Haarföhn
thank you i need a hairdryer, Frag: Haarföhn
no could i have a hairdryer, Frag: Haarföhn
thank you i should like a hairdryer please, Frag: Haarföhn
yes i should like a hairdryer please, Frag: Haarföhn
no could you give me a hairdryer please, Frag: Haarföhn
thank you i am looking for a hairdryer please, Frag: Haarföhn
yes can you offer me a hairdryer, Frag: Haarföhn
no can you give me a hairdryer please, Frag: Haarföhn
no i need a hairdryer, Frag: Haarföhn
thank you can you offer me a hairdryer, Frag: Haarföhn
i am looking for a hairdryer please, Frag: Haarföhn
thank you can you give me a hairdryer please, Frag: Haarföhn
yes can i buy a hairdryer, Frag: Haarföhn
i will take a hairdryer please, Frag: Haarföhn
no can you please offer me a hairdryer, Frag: Haarföhn
can i buy a hairdryer please, Frag: Haarföhn
can you please offer me a hairdryer, Frag: Haarföhn
yes i want a hairdryer please, Frag: Haarföhn
i will take a hairdryer, Frag: Haarföhn
yes i will have a hairdryer please, Frag: Haarföhn
could i have a hairdryer, Frag: Haarföhn
no can you give me a hairdryer, Frag: Haarföhn
where is a hairdryer, Frag: Wo ist der Haarföhn?
where can i find a hairdryer, Frag: Wo ist der Haarföhn?
i couldn't find any shower gel, Sag: Im Zimmer hat es kein Duschgel
i couldn't find the shower gel in the room, Sag: Im Zimmer hat es kein Duschgel
i couldn't find the shower gel, Sag: Im Zimmer hat es kein Duschgel
there is no shower gel in the room, Sag: Im Zimmer hat es kein Duschgel
i couldn't find shower gel in the room, Sag: Im Zimmer hat es kein Duschgel
i couldn't find shower gel, Sag: Im Zimmer hat es kein Duschgel
i couldn't find any shower gel in the room, Sag: Im Zimmer hat es kein Duschgel
i could not find shower gel in the room, Sag: Im Zimmer hat es kein Duschgel
i couldn't find hairdryer in the room, Sag: Im Zimmer hat es keinen Haarföhn
there is no hairdryer, Sag: Im Zimmer hat es keinen Haarföhn
i could not find hairdryer, Sag: Im Zimmer hat es keinen Haarföhn
i could not find any hairdryer in the room, Sag: Im Zimmer hat es keinen Haarföhn
there is no hairdryer in the room, Sag: Im Zimmer hat es keinen Haarföhn
i could not find the hairdryer, Sag: Im Zimmer hat es keinen Haarföhn
i could not find any hairdryer, Sag: Im Zimmer hat es keinen Haarföhn
i could not find the hairdryer in the room, Sag: Im Zimmer hat es keinen Haarföhn
i couldn't find the shampoo, Sag: Im Zimmer hat es kein Shampoo
i could not find shampoo in the room, Sag: Im Zimmer hat es kein Shampoo
i couldn't find any shampoo, Sag: Im Zimmer hat es kein Shampoo
i could not find shampoo, Sag: Im Zimmer hat es kein Shampoo
i couldn't find shampoo in the room, Sag: Im Zimmer hat es kein Shampoo
i couldn't find any shampoo in the room, Sag: Im Zimmer hat es kein Shampoo
i could not find any shampoo, Sag: Im Zimmer hat es kein Shampoo
i couldn't find the shampoo in the room, Sag: Im Zimmer hat es kein Shampoo
no, Nein
i don't, Sag: Ich habe keine Reservation
sorry i do not have a reservation, Sag: Ich habe keine Reservation
i do not have a reservation, Sag: Ich habe keine Reservation
no i do not, Sag: Ich habe keine Reservation
no i don't, Sag: Ich habe keine Reservation
i don't have a reservation, Sag: Ich habe keine Reservation
sorry i do not, Sag: Ich habe keine Reservation
sorry i don't have a reservation, Sag: Ich habe keine Reservation
a room for one week please, Frag: Zimmer für 1 Woche
no i'd like a room for one week, Frag: Zimmer für 1 Woche
could i have a room for one week please, Frag: Zimmer für 1 Woche
have you got a room for one week please, Frag: Zimmer für 1 Woche
yes i need a room for one week please, Frag: Zimmer für 1 Woche
can you offer me a room for one week, Frag: Zimmer für 1 Woche
do you have a room for one week, Frag: Zimmer für 1 Woche
no i should like a room for one week please, Frag: Zimmer für 1 Woche
yes i will have a room for one week please, Frag: Zimmer für 1 Woche
no i would like a room for one week please, Frag: Zimmer für 1 Woche
could you please give me a room for one week, Frag: Zimmer für 1 Woche
no i want a room for one week, Frag: Zimmer für 1 Woche
i want a room for one week please, Frag: Zimmer für 1 Woche
no i want a room for one week please, Frag: Zimmer für 1 Woche
yes i would like a room for one week, Frag: Zimmer für 1 Woche
can you offer me a room for one week please, Frag: Zimmer für 1 Woche
could you give me a room for one week please, Frag: Zimmer für 1 Woche
i would like a room for one week, Frag: Zimmer für 1 Woche
yes i should like a room for one week, Frag: Zimmer für 1 Woche
can you please give me a room for one week, Frag: Zimmer für 1 Woche
could you offer me a room for one week, Frag: Zimmer für 1 Woche
yes i'd like a room for one week, Frag: Zimmer für 1 Woche
no i need a room for one week, Frag: Zimmer für 1 Woche
yes i want a room for one week please, Frag: Zimmer für 1 Woche
i will have a room for one week please, Frag: Zimmer für 1 Woche
can you give me a room for one week, Frag: Zimmer für 1 Woche
yes i will take a room for one week, Frag: Zimmer für 1 Woche
i should like a room for one week please, Frag: Zimmer für 1 Woche
yes i would like a room for one week please, Frag: Zimmer für 1 Woche
can i buy a room for one week please, Frag: Zimmer für 1 Woche
no i will take a room for one week please, Frag: Zimmer für 1 Woche
i will take a room for one week please, Frag: Zimmer für 1 Woche
can i buy a room for one week, Frag: Zimmer für 1 Woche
can you give me a room for one week please, Frag: Zimmer für 1 Woche
i need a room for one week please, Frag: Zimmer für 1 Woche
no i will have a room for one week, Frag: Zimmer für 1 Woche
can i have a room for one week, Frag: Zimmer für 1 Woche
yes i want a room for one week, Frag: Zimmer für 1 Woche
no i would like a room for one week, Frag: Zimmer für 1 Woche
no i should like a room for one week, Frag: Zimmer für 1 Woche
no i'd like a room for one week please, Frag: Zimmer für 1 Woche
do you have a room for one week please, Frag: Zimmer für 1 Woche
yes i will have a room for one week, Frag: Zimmer für 1 Woche
no i would like a room for two nights please, Frag: Zimmer für 2 Nächte
no i want a room for two nights please, Frag: Zimmer für 2 Nächte
yes i need a room for two nights, Frag: Zimmer für 2 Nächte
could i have a room for two nights please, Frag: Zimmer für 2 Nächte
i'd like a room for two nights please, Frag: Zimmer für 2 Nächte
i would like a room for two nights please, Frag: Zimmer für 2 Nächte
no i need a room for two nights please, Frag: Zimmer für 2 Nächte
yes i would like a room for two nights, Frag: Zimmer für 2 Nächte
can i buy a room for two nights, Frag: Zimmer für 2 Nächte
could i buy a room for two nights please, Frag: Zimmer für 2 Nächte
yes i'd like a room for two nights, Frag: Zimmer für 2 Nächte
could you please offer me a room for two nights, Frag: Zimmer für 2 Nächte
no i will have a room for two nights, Frag: Zimmer für 2 Nächte
i'd like a room for two nights, Frag: Zimmer für 2 Nächte
i need a room for two nights, Frag: Zimmer für 2 Nächte
can i buy a room for two nights please, Frag: Zimmer für 2 Nächte
yes i will have a room for two nights please, Frag: Zimmer für 2 Nächte
could you offer me a room for two nights please, Frag: Zimmer für 2 Nächte
i want a room for two nights please, Frag: Zimmer für 2 Nächte
a room for two nights, Frag: Zimmer für 2 Nächte
i need a room for two nights please, Frag: Zimmer für 2 Nächte
yes i want a room for two nights, Frag: Zimmer für 2 Nächte
i want a room for two nights, Frag: Zimmer für 2 Nächte
could you please give me a room for two nights, Frag: Zimmer für 2 Nächte
have you got a room for two nights, Frag: Zimmer für 2 Nächte
can i have a room for two nights please, Frag: Zimmer für 2 Nächte
yes i will take a room for two nights, Frag: Zimmer für 2 Nächte
can i have a room for two nights, Frag: Zimmer für 2 Nächte
i should like a room for two nights, Frag: Zimmer für 2 Nächte
no i will take a room for two nights, Frag: Zimmer für 2 Nächte
yes i will take a room for two nights please, Frag: Zimmer für 2 Nächte
i would like to stay for a room for two nights, Frag: Zimmer für 2 Nächte
i am looking for a room for two nights please, Frag: Zimmer für 2 Nächte
could you give me a room for two nights please, Frag: Zimmer für 2 Nächte
yes i need a room for two nights please, Frag: Zimmer für 2 Nächte
i would like a room for two nights, Frag: Zimmer für 2 Nächte
no i'd like a room for two nights, Frag: Zimmer für 2 Nächte
i will have a room for two nights please, Frag: Zimmer für 2 Nächte
can you give me a room for two nights please, Frag: Zimmer für 2 Nächte
can you give me a room for two nights, Frag: Zimmer für 2 Nächte
i should like a room for two nights please, Frag: Zimmer für 2 Nächte
can you please offer me a room for two nights, Frag: Zimmer für 2 Nächte
yes i would like a room for two nights please, Frag: Zimmer für 2 Nächte
a room for three nights please, Frag: Zimmer für 3 Nächte
yes i want a room for three nights, Frag: Zimmer für 3 Nächte
can i buy a room for three nights please, Frag: Zimmer für 3 Nächte
yes i'd like a room for three nights please, Frag: Zimmer für 3 Nächte
i should like a room for three nights please, Frag: Zimmer für 3 Nächte
could you offer me a room for three nights please, Frag: Zimmer für 3 Nächte
have you got a room for three nights, Frag: Zimmer für 3 Nächte
no i should like a room for three nights, Frag: Zimmer für 3 Nächte
i should like a room for three nights, Frag: Zimmer für 3 Nächte
can you please give me a room for three nights, Frag: Zimmer für 3 Nächte
do you have a room for three nights, Frag: Zimmer für 3 Nächte
no i would like a room for three nights, Frag: Zimmer für 3 Nächte
no i would like a room for three nights please, Frag: Zimmer für 3 Nächte
can i have a room for three nights, Frag: Zimmer für 3 Nächte
could you give me a room for three nights, Frag: Zimmer für 3 Nächte
i will take a room for three nights please, Frag: Zimmer für 3 Nächte
could i have a room for three nights, Frag: Zimmer für 3 Nächte
yes i will have a room for three nights please, Frag: Zimmer für 3 Nächte
no i need a room for three nights, Frag: Zimmer für 3 Nächte
no i want a room for three nights, Frag: Zimmer für 3 Nächte
can you give me a room for three nights, Frag: Zimmer für 3 Nächte
yes i'd like a room for three nights, Frag: Zimmer für 3 Nächte
no i want a room for three nights please, Frag: Zimmer für 3 Nächte
can i have a room for three nights please, Frag: Zimmer für 3 Nächte
yes i should like a room for three nights, Frag: Zimmer für 3 Nächte
yes i should like a room for three nights please, Frag: Zimmer für 3 Nächte
could i buy a room for three nights, Frag: Zimmer für 3 Nächte
no i will take a room for three nights, Frag: Zimmer für 3 Nächte
a room for three nights, Frag: Zimmer für 3 Nächte
i need a room for three nights please, Frag: Zimmer für 3 Nächte
i'd like a room for three nights please, Frag: Zimmer für 3 Nächte
i will have a room for three nights, Frag: Zimmer für 3 Nächte
do you have a room for three nights please, Frag: Zimmer für 3 Nächte
no i will have a room for three nights please, Frag: Zimmer für 3 Nächte
could i buy a room for three nights please, Frag: Zimmer für 3 Nächte
could you please give me a room for three nights, Frag: Zimmer für 3 Nächte
can i buy a room for three nights, Frag: Zimmer für 3 Nächte
yes i will have a room for three nights, Frag: Zimmer für 3 Nächte
i would like a room for three nights please, Frag: Zimmer für 3 Nächte
i will have a room for three nights please, Frag: Zimmer für 3 Nächte
yes i want a room for three nights please, Frag: Zimmer für 3 Nächte
can you please offer me a room for three nights, Frag: Zimmer für 3 Nächte
no i will have a room for three nights, Frag: Zimmer für 3 Nächte
no i want a room for four nights, Frag: Zimmer für 4 Nächte
yes i want a room for four nights, Frag: Zimmer für 4 Nächte
can you give me a room for four nights, Frag: Zimmer für 4 Nächte
could you please give me a room for four nights, Frag: Zimmer für 4 Nächte
can i buy a room for four nights please, Frag: Zimmer für 4 Nächte
yes i would like a room for four nights, Frag: Zimmer für 4 Nächte
yes i would like a room for four nights please, Frag: Zimmer für 4 Nächte
i need a room for four nights, Frag: Zimmer für 4 Nächte
i would like a room for four nights please, Frag: Zimmer für 4 Nächte
i will take a room for four nights please, Frag: Zimmer für 4 Nächte
i would like to stay for a room for four nights, Frag: Zimmer für 4 Nächte
no i want a room for four nights please, Frag: Zimmer für 4 Nächte
could you please offer me a room for four nights, Frag: Zimmer für 4 Nächte
i'd like a room for four nights, Frag: Zimmer für 4 Nächte
can i buy a room for four nights, Frag: Zimmer für 4 Nächte
could you give me a room for four nights please, Frag: Zimmer für 4 Nächte
no i need a room for four nights, Frag: Zimmer für 4 Nächte
have you got a room for four nights please, Frag: Zimmer für 4 Nächte
could you offer me a room for four nights please, Frag: Zimmer für 4 Nächte
no i will take a room for four nights please, Frag: Zimmer für 4 Nächte
no i'd like a room for four nights, Frag: Zimmer für 4 Nächte
a room for four nights please, Frag: Zimmer für 4 Nächte
a room for four nights, Frag: Zimmer für 4 Nächte
yes i should like a room for four nights please, Frag: Zimmer für 4 Nächte
could you give me a room for four nights, Frag: Zimmer für 4 Nächte
no i need a room for four nights please, Frag: Zimmer für 4 Nächte
no i should like a room for four nights, Frag: Zimmer für 4 Nächte
yes i will take a room for four nights, Frag: Zimmer für 4 Nächte
could i buy a room for four nights, Frag: Zimmer für 4 Nächte
i am looking for a room for four nights, Frag: Zimmer für 4 Nächte
yes i'd like a room for four nights, Frag: Zimmer für 4 Nächte
could i buy a room for four nights please, Frag: Zimmer für 4 Nächte
i would like a room for four nights, Frag: Zimmer für 4 Nächte
no i'd like a room for four nights please, Frag: Zimmer für 4 Nächte
i want a room for four nights please, Frag: Zimmer für 4 Nächte
no i will have a room for four nights please, Frag: Zimmer für 4 Nächte
can you please give me a room for four nights, Frag: Zimmer für 4 Nächte
can i have a room for four nights please, Frag: Zimmer für 4 Nächte
can you offer me a room for four nights please, Frag: Zimmer für 4 Nächte
i will take a room for four nights, Frag: Zimmer für 4 Nächte
can you please offer me a room for four nights, Frag: Zimmer für 4 Nächte
i want a room for four nights, Frag: Zimmer für 4 Nächte
no i will take a room for four nights, Frag: Zimmer für 4 Nächte
a room for five nights please, Frag: Zimmer für 5 Nächte
do you have a room for five nights please, Frag: Zimmer für 5 Nächte
could i buy a room for five nights please, Frag: Zimmer für 5 Nächte
yes i need a room for five nights please, Frag: Zimmer für 5 Nächte
can i buy a room for five nights please, Frag: Zimmer für 5 Nächte
i would like a room for five nights, Frag: Zimmer für 5 Nächte
can you please give me a room for five nights, Frag: Zimmer für 5 Nächte
could you offer me a room for five nights, Frag: Zimmer für 5 Nächte
no i need a room for five nights please, Frag: Zimmer für 5 Nächte
could you give me a room for five nights, Frag: Zimmer für 5 Nächte
i should like a room for five nights please, Frag: Zimmer für 5 Nächte
can you please offer me a room for five nights, Frag: Zimmer für 5 Nächte
yes i'd like a room for five nights please, Frag: Zimmer für 5 Nächte
could you please give me a room for five nights, Frag: Zimmer für 5 Nächte
could i have a room for five nights please, Frag: Zimmer für 5 Nächte
can you give me a room for five nights, Frag: Zimmer für 5 Nächte
do you have a room for five nights, Frag: Zimmer für 5 Nächte
could you give me a room for five nights please, Frag: Zimmer für 5 Nächte
no i should like a room for five nights please, Frag: Zimmer für 5 Nächte
no i should like a room for five nights, Frag: Zimmer für 5 Nächte
i will take a room for five nights, Frag: Zimmer für 5 Nächte
could you offer me a room for five nights please, Frag: Zimmer für 5 Nächte
could i buy a room for five nights, Frag: Zimmer für 5 Nächte
can i buy a room for five nights, Frag: Zimmer für 5 Nächte
yes i need a room for five nights, Frag: Zimmer für 5 Nächte
no i would like a room for five nights, Frag: Zimmer für 5 Nächte
i am looking for a room for five nights, Frag: Zimmer für 5 Nächte
yes i would like a room for five nights, Frag: Zimmer für 5 Nächte
can i have a room for five nights please, Frag: Zimmer für 5 Nächte
have you got a room for five nights please, Frag: Zimmer für 5 Nächte
i will have a room for five nights, Frag: Zimmer für 5 Nächte
have you got a room for five nights, Frag: Zimmer für 5 Nächte
can you offer me a room for five nights please, Frag: Zimmer für 5 Nächte
could i have a room for five nights, Frag: Zimmer für 5 Nächte
no i will have a room for five nights, Frag: Zimmer für 5 Nächte
i need a room for five nights please, Frag: Zimmer für 5 Nächte
yes i want a room for five nights, Frag: Zimmer für 5 Nächte
no i will have a room for five nights please, Frag: Zimmer für 5 Nächte
can i have a room for five nights, Frag: Zimmer für 5 Nächte
i need a room for five nights, Frag: Zimmer für 5 Nächte
i should like a room for five nights, Frag: Zimmer für 5 Nächte
yes i want a room for five nights please, Frag: Zimmer für 5 Nächte
no i want a room for five nights please, Frag: Zimmer für 5 Nächte
no i need a room for six nights please, Frag: Zimmer für 6 Nächte
could you offer me a room for six nights please, Frag: Zimmer für 6 Nächte
could i have a room for six nights, Frag: Zimmer für 6 Nächte
yes i will take a room for six nights please, Frag: Zimmer für 6 Nächte
i should like a room for six nights please, Frag: Zimmer für 6 Nächte
can i have a room for six nights, Frag: Zimmer für 6 Nächte
yes i need a room for six nights please, Frag: Zimmer für 6 Nächte
do you have a room for six nights please, Frag: Zimmer für 6 Nächte
can you please give me a room for six nights, Frag: Zimmer für 6 Nächte
i will have a room for six nights, Frag: Zimmer für 6 Nächte
do you have a room for six nights, Frag: Zimmer für 6 Nächte
could i buy a room for six nights please, Frag: Zimmer für 6 Nächte
i need a room for six nights, Frag: Zimmer für 6 Nächte
a room for six nights, Frag: Zimmer für 6 Nächte
i'd like a room for six nights please, Frag: Zimmer für 6 Nächte
no i will take a room for six nights please, Frag: Zimmer für 6 Nächte
can i have a room for six nights please, Frag: Zimmer für 6 Nächte
no i need a room for six nights, Frag: Zimmer für 6 Nächte
